target,rf_test_f1_macro,rf_ci95_lo,rf_ci95_hi,lr_test_f1_macro,lr_ci95_lo,lr_ci95_hi,n_discordant_rf_only_correct,n_discordant_lr_only_correct,mcnemar_statistic,mcnemar_pvalue,mcnemar_exact,mcnemar_pvalue_fdr_bh,mcnemar_significant_fdr_bh
cooler_condition,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,1.0,True,1.0,False
valve_condition,0.9965738959027549,0.9883713455974582,1.0,0.9965276103207138,0.9888971826434682,1.0,1,1,1.0,1.0,True,1.0,False
pump_leakage,0.9931089714756794,0.9824644209024637,1.0,0.9861446694792947,0.9721683436973164,0.9967425013624868,2,0,0.0,0.5,True,1.0,False
accumulator_pressure,0.9862974589484332,0.9700703752623561,0.9967118581500009,0.860151051234946,0.8159428204053372,0.8985007320261069,39,3,29.166666666666668,6.641198786386126e-08,False,2.6564795145544504e-07,True
