target,model,n_groups_total,n_folds,grouped_cv_f1_macro_mean,grouped_cv_f1_macro_std,grouped_cv_f1_macro_min,grouped_cv_f1_macro_max,stratified_test_f1_macro,delta_stratified_minus_grouped
cooler_condition,RandomForest,144,5,1.0,0.0,1.0,1.0,1.0,0.0
valve_condition,LogisticRegression,144,5,0.9937980854618813,0.007676749138155543,0.9827367616202568,1.0,0.9965276103207138,0.0027295248588324883
pump_leakage,RandomForest,144,5,0.9658142025065869,0.031960453345264046,0.9095002963225113,1.0,0.9931089714756794,0.027294768969092553
accumulator_pressure,RandomForest,144,5,0.8420916707937727,0.0409813163176378,0.7808395255763676,0.9008311170212766,0.9862974589484332,0.14420578815466056
